Running script: v6_neural_vae.py
Loading configuration from C:\Users\schot\Neural_VAE_ODE\src\config.txt
Device: cuda
PCA disabled → using raw ROI with N=375
Selecting 100 landmark trials (greedy coverage)...
Subsampled to 100 sequences.
Built sequences: B=100, :=120, N=375
[024] train loss 1.28463 | recon 1.23775 | kl 2.86322 | smooth 1.24141 | trans 0.05429 | lle 0.00054 | beta 0.016
      valid loss 6.79542 | recon 6.78166 | kl 0.62253 | smooth 1.12035 | trans 0.09426 | lle 0.00008 | R² 0.0080
[025] train loss 1.29479 | recon 1.25525 | kl 2.30685 | smooth 1.26240 | trans 0.05444 | lle 0.00061 | beta 0.017
      valid loss 6.77754 | recon 6.76040 | kl 0.78985 | smooth 1.11802 | trans 0.09426 | lle 0.00008 | R² 0.0111
[026] train loss 1.27713 | recon 1.23364 | kl 2.44448 | smooth 1.26483 | trans 0.05486 | lle 0.00056 | beta 0.017
      valid loss 6.80219 | recon 6.78534 | kl 0.77346 | smooth 1.12063 | trans 0.09426 | lle 0.00010 | R² 0.0074
[027] train loss 1.24939 | recon 1.20401 | kl 2.45806 | smooth 1.26855 | trans 0.05501 | lle 0.00053 | beta 0.018
      valid loss 6.76645 | recon 6.74984 | kl 0.76038 | smooth 1.09512 | trans 0.09426 | lle 0.00008 | R² 0.0126
[028] train loss 1.26637 | recon 1.20515 | kl 3.21845 | smooth 1.26019 | trans 0.05461 | lle 0.00056 | beta 0.019
      valid loss 6.78132 | recon 6.76517 | kl 0.73594 | smooth 1.11029 | trans 0.09426 | lle 0.00009 | R² 0.0104
[029] train loss 1.24433 | recon 1.19378 | kl 2.55371 | smooth 1.29293 | trans 0.05471 | lle 0.00054 | beta 0.019
      valid loss 6.79863 | recon 6.78190 | kl 0.76324 | smooth 1.11395 | trans 0.09426 | lle 0.00009 | R² 0.0079
[030] train loss 1.19243 | recon 1.13087 | kl 3.01807 | smooth 1.30780 | trans 0.05420 | lle 0.00053 | beta 0.020
      valid loss 6.79651 | recon 6.77989 | kl 0.75589 | smooth 1.12786 | trans 0.09426 | lle 0.00009 | R² 0.0082
[031] train loss 1.15538 | recon 1.10281 | kl 2.56781 | smooth 1.32374 | trans 0.05470 | lle 0.00056 | beta 0.020
      valid loss 6.80667 | recon 6.79512 | kl 0.50205 | smooth 1.13230 | trans 0.09426 | lle 0.00011 | R² 0.0060
[032] train loss 1.16175 | recon 1.10663 | kl 2.69523 | smooth 1.31785 | trans 0.05488 | lle 0.00056 | beta 0.020
      valid loss 6.79526 | recon 6.77937 | kl 0.71800 | smooth 1.17576 | trans 0.09426 | lle 0.00009 | R² 0.0083
[033] train loss 1.17830 | recon 1.12437 | kl 2.63541 | smooth 1.33731 | trans 0.05418 | lle 0.00058 | beta 0.020
      valid loss 6.87746 | recon 6.85857 | kl 0.86705 | smooth 1.20070 | trans 0.09426 | lle 0.00008 | R² -0.0033
[034] train loss 1.19744 | recon 1.14853 | kl 2.38422 | smooth 1.34152 | trans 0.05468 | lle 0.00055 | beta 0.020
      valid loss 6.84179 | recon 6.81465 | kl 1.28035 | smooth 1.18996 | trans 0.09425 | lle 0.00009 | R² 0.0031
